User;Book;Author;Rating;Book_id
20;1984;Orwell, George;4;0
89;      #scandal;Ockler, Sarah;5;1
36;      10 Truths and a Dare;Elston, Ashley;5;2
95;      100 Days of Sunlight;Emmons, Abbie;3;3
97;      100 Days of Sunlight;Emmons, Abbie;5;3
60;      11 Birthdays        (Willow Falls, #1);Mass, Wendy;4;4
94;      11th Hour        (Women's Murder Club #11);Patterson, James;4;5
32;      15-Minute Drawing: Getting Started: From sketch to finished drawing in just 15 minutes!;McManness, Erin;4;6
114;      20,000 Leagues Under the Sea and other Classic Novels;Verne, Jules;4;7
55;      2030: How Today's Biggest Trends Will Collide and Reshape the Future of Everything;Guillén, Mauro F.;4;8
84;      212        (Ellie Hatcher, #3);Burke, Alafair;3;9
75;      22 Indigo Place;Brown, Sandra;2;10
4;      40 Days of Decrease: A Different Kind of Hunger. A Different Kind of Fast.;Chole, Alicia Britt;5;11
94;      7th Heaven        (Women's Murder Club, #7);Patterson, James;4;12
95;      84, Charing Cross Road;Hanff, Helene;5;13
4;      99 Percent Mine;Thorne, Sally;5;14
5;      A ​Court of Silver Flames        (A Court of Thorns and Roses, #4);Maas, Sarah J.;5;15
49;      A ​Court of Silver Flames        (A Court of Thorns and Roses, #4);Maas, Sarah J.;5;15
18;      A Banquet for Hungry Ghosts: A Collection of Deliciously Frightening Tales;Compestine, Ying Chang;4;16
29;      A Beautiful Funeral        (The Maddox Brothers, #5);McGuire, Jamie;5;17
92;      A Bedtime Prayer for Peace;Dada, Akila;4;18
59;      A Better Man        (Chief Inspector Armand Gamache, #15);Penny, Louise;4;19
99;      A Bollywood Affair        (Bollywood, #1);Dev, Sonali;1;20
24;      A Book of Sleep;Na, Il Sung;4;21
84;      A Brush with Murder        (A Paint by Murder Mystery #1);Abbott, Bailee;2;22
93;      A Caress of Twilight        (Merry Gentry, #2);Hamilton, Laurell K.;5;23
71;      A Case of the Jitters        (Dream Team #2);Percival, Tom;3;24
55;      A Catered Book Club Murder        (A Mystery With Recipes, #16);Crawford, Isis;3;25
47;"      A Child Called ""It""        (Dave Pelzer, #1)";Pelzer, Dave;5;26
84;      A Christmas Candy Killing;Romeril, Christina;2;27
55;      A Confederacy of Dunces;Toole, John Kennedy;4;28
76;      A Corner of the Universe;Martin, Ann M.;5;29
11;      A Cosmology of Monsters;Hamill, Shaun;4;30
32;      A Court of Frost and Starlight        (A Court of Thorns and Roses, #3.1);Maas, Sarah J.;3;31
31;      A Court of Mist and Fury        (A Court of Thorns and Roses, #2);Maas, Sarah J.;4;32
42;      A Court of Thorns and Roses        (A Court of Thorns and Roses, #1);Maas, Sarah J.;4;33
43;      A Court of Thorns and Roses        (A Court of Thorns and Roses, #1);Maas, Sarah J.;4;33
31;      A Court of Wings and Ruin        (A Court of Thorns and Roses, #3);Maas, Sarah J.;3;34
85;      A Court of Wings and Ruin        (A Court of Thorns and Roses, #3);Maas, Sarah J.;4;34
32;      A Curse So Dark and Lonely        (Cursebreakers, #1);Kemmerer, Brigid;4;35
63;      A Darker Shade of Magic        (Shades of Magic, #1);Schwab, V.E.;4;36
6;      A Darkness Absolute        (Rockton, #2);Armstrong, Kelley;5;37
